id|first_name|last_name|age|email|occupation|political_views|nationality|university|academic_degree|address|postal_code|country|city
dbf57159-e26f-4e37-8ceb-c4b7f04178e9|Kiley|Mathews|66|curtis_1702@live.com|Aerobic Instructor|Conservative|French|California State University, Bakersfield (CSUB)|None|1337 Holloway Terrace|56265|Bosnia & Herzegovina|Paterson
7045a35c-20b6-402c-bb75-b6404ce7c8a4|Antonietta|Terry|31|francisco-2462@outlook.com|Palaeontologist|Libertarian|Salvadorian|Fitchburg State University|None|882 Ledyard Sideline|91962|Vanuatu|Lakeville
9a364bb9-541b-4eaf-a990-3bc854299311|Genevive|Maldonado|21|katherin-5778@yahoo.com|Marble Finisher|Anarchism|Romanian|Abraham Baldwin Agricultural College|None|303 Holly Park Square|28967|Ascension Island|Rockville Centre
a1b11cb8-d934-4bfe-8ef5-9967c35aab75|Yanira|Jacobs|35|jenine-2061@yandex.com|Recorder|Moderate|Chilean|Northern Kentucky University (NKU)|Master|676 Ledyard Townline|76293|Tunisia|Waukesha
f7a5c449-f689-45fe-a7bd-0c5980046dc8|Veronique|Parsons|55|armandina-8673@live.com|Stage Manager|Communist|Italian|University of Massachusetts Amherst (UMass Amherst)|None|1371 Chicago Gardens|33381|Guinea-Bissau|Fort Pierce
dbf4530e-b04b-4b66-895b-14113bb5d266|Nickole|Duffy|60|suanne-4728@live.com|Technical Illustrator|Apathetic|Cuban|College of Coastal Georgia|Master|60 Pino Manor|22407|Gabon|Franklin Park
6bb52161-fd07-483b-8ec6-bdb34597e5c4|Nichelle|Mcclure|56|carletta_3902@yahoo.com|Musician|Apathetic|Finnish|Abraham Baldwin Agricultural College|None|443 Beacon Square|66048|Liechtenstein|San Juan Capistrano
53b4795a-44ef-4506-9420-db88500094c7|Carmelia|Short|22|junita_8259@live.com|General Practitioner|Libertarian|Dutch|California State University, Fresno (Fresno State)|None|853 Hale Close|29974|Central African Republic|Austin
13736a99-d260-491c-8a84-b57ff85a9ad4|Ciera|Bennett|30|delana4552@gmail.com|Auto Electrician|Apathetic|Guatemalan|California State University, Chico (Chico State)|None|1392 Mariner Pike|42021|Antarctica|Corpus Christi
0fc43710-3fbf-46e8-8a92-d37f97bf6298|Vena|Sosa|62|wan_4133@yahoo.com|Medical Secretary|Moderate|Argentinian|Kentucky State University|None|1016 Taber Run|38201|Nigeria|Moraga
873cf24c-93a4-4f72-ae66-1bb91971b34b|Miki|Thornton|29|chae8037@yandex.com|Typewriter Engineer|Liberal|Danish|Worcester State University|Bachelor|769 Mark Twain Viaduct|49932|Sierra Leone|Bridgeton
966e1bd1-2ad7-4ae0-957c-dc2c4d9e3350|Cuc|Pope|27|lakia4550@outlook.com|Plant Driver|Conservative|Canadian|Bainbridge State College|None|801 Canyon Promenade|12091|Portugal|Aliso Viejo
19a45065-b81c-4777-96c7-d2ae529c281d|Mardell|Collier|54|marguerita6104@yahoo.com|Taxi Controller|Apathetic|Venezuelan|Worcester State University|None|154 Sycamore Arcade|54043|Montserrat|De Pere
feb87c34-41f6-4776-be0c-e7a9279b1fa1|Renetta|Albert|47|gregory-1727@live.com|Typewriter Engineer|Libertarian|Portuguese|Georgia State University (GSU)|None|1211 Young Boulevard|91161|Japan|Gulfport
cd4aed0c-1d2e-4e05-9c27-f21dad8edb3e|Lynelle|Combs|40|kiera-4682@yandex.com|Tea Taster|Apathetic|Chilean|California State University, Fullerton (Fullerton, CSUF, Cal State Fullerton)|Master|547 Hyde Brae|01901|Vanuatu|Chesterfield
b7aac3b8-d933-467c-a888-5234e62db0b7|Luetta|Fields|58|ebonie_5681@outlook.com|Site Agent|Liberal|Mexican|College of Coastal Georgia|None|343 Bonnie Brae Pike|72502|Cameroon|South Pasadena
06788683-5a1d-467f-96de-dc4e70bdbe70|Jessi|Gonzalez|59|avril5110@outlook.com|Typesetter|Socialist|Ethiopian|Kennesaw State University|None|370 Beulah Side road|47728|Senegal|Lufkin
4875fe81-1c62-414a-833b-de4d4f750f3e|Ardella|Griffin|35|eilene_4006@gmail.com|Civil Servant|Moderate|Saudi|Northern Kentucky University (NKU)|None|1320 Thorp Plantation|35645|Nicaragua|New Port Richey
7434b287-b23c-4827-a885-88b24a185863|Avelina|Bruce|63|violette_7691@outlook.com|Law Clerk|Apathetic|Swiss|University of North Florida (UNF)|None|893 Emerald Esplanade|21209|Iran|Ashtabula
9448008b-6869-415f-9623-ac070d22a349|Kayleigh|Pratt|50|floria_690@outlook.com|Lathe Operator|Conservative|Dutch|Clayton State University|Master|662 Seymour Promenade|70793|Ukraine|Norwood
558b312f-ef63-4a3f-9384-dc5246b8afb3|Ardelia|Coleman|45|stephen_6075@gmail.com|Tiler|Socialist|Salvadorian|Florida Atlantic University (FAU)|None|190 Dichiera Cove|05589|Grenada|Kiryas Joel
f47f1d35-c400-4675-b09c-2f3b2d4ef432|Kassie|George|17|dimple8277@yandex.com|Radio Engineer|Liberal|Iranian|Fort Valley State University|None|253 Fernwood Trace|21693|Philippines|Shelbyville
cccd6c4e-9777-4673-b386-12b85bf97378|Chanelle|Humphrey|22|bula_2066@yahoo.com|Landlady|Moderate|Cambodian|Northern Kentucky University (NKU)|PhD|774 Morton Wynd|02136|Seychelles|Louisville
62f3f3cb-8d7f-41b6-9ddd-5f710e323637|Carletta|Quinn|24|nelia-509@live.com|Art Historian|Liberal|Spanish|Southern Connecticut State University (SCSU)|None|1176 Fern Expressway|61379|Western Sahara|Brigham City
084b0863-47c4-4260-b23a-c1919afff12a|Adam|Peck|53|esta-3978@outlook.com|Seaman|Communist|Brazilian|Fort Valley State University|None|178 Jade Bay|35732|Pakistan|Murfreesboro
06ee5879-9359-439d-86e2-dd18496532ce|Latoria|David|23|kanisha5455@yandex.com|Archaeologist|Libertarian|Uruguayan|Bridgewater State University|None|862 Granville Point|61765|Tristan da Cunha|Avon
1cdbdc5f-efdb-4d8c-8ce8-a25efb8bb75e|Celena|Mason|31|irmgard-4657@yahoo.com|Ornamental|Anarchism|Greek|University of Massachusetts Medical School|None|1268 Seventh Hill|26977|Isle of Man|Oak Forest
899da0ec-347b-4eda-84b8-b39be8fb9b85|Wynell|Decker|24|sudie_5407@live.com|Gardener|Socialist|Cuban|Murray State University|None|880 Edward Sideline|01339|Singapore|Midlothian
0f0481f0-2eea-4ede-9960-1f0ee12e035f|Bula|Mccarthy|33|kasie430@yahoo.com|Miner|Conservative|Guatemalan|University of California, Los Angeles (UCLA)|None|676 John F Kennedy Manor|55918|Tanzania|Bend
937cf924-a354-4535-b61d-91864771f4f3|Torri|Hill|17|nickole_2135@outlook.com|Nursing Sister|Socialist|Israeli|Georgia College and State University|None|691 Sylvan Manor|40921|United States|Glen Ellyn
2c99e684-7d1f-450e-9bfe-fff41dfa0c70|Renda|Scott|17|pamula-3417@yahoo.com|Police Officer|Moderate|Jordanian|Salem State University|Bachelor|883 Dewitt Hill|96920|Mozambique|Lufkin
172f3d30-2105-48f0-9350-bceccba9f34c|Yer|Donaldson|47|mui386@live.com|Area Manager|Anarchism|Colombian|University of Massachusetts Medical School|None|1396 Cuvier Row|72586|Maldives|Hoboken
d42913d1-ffa7-4d27-a30e-19fd0c3cdd4a|Arletta|Macias|23|aleisha_1756@outlook.com|Ornamental|Socialist|German|University of Louisville (Louisville, U of L, or UL)|None|1026 Hawthorne Mews|06478|Diego Garcia|Stow
05c918cc-f1e2-4ac8-89f8-7c6abf4c61f6|Albertine|Jackson|41|twanna_5330@outlook.com|Jockey|Socialist|Spanish|Eastern Kentucky University (EKU)|Bachelor|157 Ocean Vista Street|76675|Ceuta & Melilla|Grand Forks
46a31561-26b6-468b-83eb-e57f04465466|Kirstie|Rowland|31|arthur8258@gmail.com|Printer|Liberal|Uruguayan|University of California, Berkeley (UC Berkeley)|None|999 Santos Grove|52461|Nepal|Temple City
cfa7ad87-3db4-4e27-afc2-412ce5f17026|Nancee|Craft|60|marica-6773@gmail.com|Travel Courier|Liberal|Latvian|Dalton State College|None|302 Culebra Circle|20965|New Zealand|Biloxi
acd4db1c-ef6b-47c3-ae71-41997807000d|Shawanna|Sosa|46|talitha9637@yahoo.com|Pawnbroker|Apathetic|Cuban|Clayton State University|Bachelor|581 Morton Highway|23986|Wallis & Futuna|Santa Clarita
4ad8a20d-bbc0-4546-8123-b3481dc7f2d8|Refugio|Mccray|52|shantelle496@live.com|Merchant Seaman|Apathetic|Belgian|University of West Georgia (UWG)|None|1284 Tonquin Turnpike|39753|Falkland Islands|Wheat Ridge
9306eb53-68b8-4ef7-b53f-6fc8e2f29e1b|Lanell|Spencer|41|sacha5542@yahoo.com|Reprographic Assistant|Communist|Spanish|University of California, San Diego (UC San Diego)|None|1111 Cesar Chavez On Mall|07318|Botswana|East Peoria
430c47aa-7f23-448e-a152-436a847474df|Keeley|Benton|53|shaun_5179@live.com|Verger|Communist|Irish|Central Connecticut State University (CCSU)|None|1139 Eucalyptus Drive|63569|French Guiana|McMinnville
f90a482b-8dff-47ff-9fae-6b5f5e8f7b72|Sharmaine|Maldonado|42|sage-2412@live.com|Tractor Driver|Anarchism|Salvadorian|College of Coastal Georgia|None|395 Ardenwood Heights|47115|Turks & Caicos Islands|Merced
380811b8-dc19-4317-ad26-315a8be0b024|Juliane|Avila|19|sharan_8091@live.com|Linguist|Apathetic|Greek|Georgia Gwinnett College|None|991 South Hill Highway|98055|Bosnia & Herzegovina|Chapel Hill
7ee920ea-21f9-4543-9ead-65b144b2ea75|Remedios|Stout|26|chaya-6077@yahoo.com|Bar Manager|Anarchism|Bolivian|Northern Kentucky University (NKU)|Master|528 Homestead Green|94281|Niue|Elmwood Park
29a5289c-5967-480e-a1f6-d7a9f353ece0|Tula|Norman|31|roseline1050@live.com|Parts Supervisor|Communist|Swedish|California State University, Bakersfield (CSUB)|None|986 Pacheco Avenue|90379|Cayman Islands|Douglas
